tempo,vazao
10,3.51952
20,3.51725
30,3.50475
40,3.50362
50,3.51272
60,3.51725
70,3.51157
80,3.51952
90,3.51952
100,3.5083
110,3.50816
120,3.50475
130,3.50362
140,3.42523
150,3.03786
160,3.10261
170,3.19803
180,3.19235
190,3.19576
200,3.20598
210,3.20712
220,3.21166
230,3.21053
240,3.2003
250,3.1969
260,3.20939
270,3.19803
280,3.20371
290,3.19462
300,3.18326
310,3.13101
320,3.00832
330,2.90494
340,2.97651
350,3.09693
360,3.18326
370,3.19122
380,3.1969
390,3.19917
400,3.20258
410,3.19576
420,3.19122
430,3.19462
440,3.20144
450,3.19803
460,3.20258
470,3.20258
480,3.20371
490,3.19917
500,3.20371
510,3.20826
520,3.20826
530,3.19008
540,3.20485
550,3.2003
560,3.2003
570,3.2003
580,3.20598
590,3.20485
600,3.20939
610,3.19803
620,3.19917
630,3.18667
640,3.1969
650,3.18213
660,3.18894
670,3.14123
680,3.12306
690,3.10261
700,3.04808
710,2.98446
720,2.94243
730,2.90835
740,2.95606
750,3.03445
760,3.08216
770,3.13669
780,3.16054
790,3.16395
800,3.19235
810,3.20144
820,3.20712
830,3.19462
840,3.19462
850,3.1969
860,3.20485
870,3.20144
880,3.19917
890,3.19235
900,3.19803
910,3.18554
920,3.20258
930,3.20144
940,3.19122
950,3.19122
960,3.21053
970,3.2003
980,3.19008
990,3.20598
1000,3.19803
1010,3.19917
1020,3.21053
1030,3.19122
1040,3.19803
1050,3.21507
1060,3.19462
1070,3.19576
1080,3.19917
1090,3.2003
1100,3.19462
1110,3.19008
1120,3.20712
1130,3.20144
1140,3.19349
1150,3.20485
1160,3.19917
1170,3.19803
1180,3.21166
1190,3.20258
1200,3.19235
1210,3.2003
1220,3.19576
1230,3.20598
1240,3.20485
1250,3.18894
1260,3.19235
1270,3.18667
1280,3.20826
1290,3.19122
1300,3.19803
1310,3.19917
1320,3.20598
1330,3.1969
1340,3.20485
1350,3.19462
1360,3.18894
1370,3.20371
1380,3.18894
1390,3.19349
1400,3.18554
1410,3.18667
1420,3.17758
1430,3.17986
1440,3.17531
1450,3.15486
1460,3.1719
1470,3.14805
1480,3.13328
1490,3.09693
1500,3.11056
1510,3.08557
1520,3.07648
1530,3.01173
1540,3.00378
1550,2.97992
1560,2.9572
1570,2.92085
1580,2.93562
1590,2.95266
1600,2.94016
1610,2.96742
1620,2.97197
1630,3.00718
1640,2.98901
1650,3.05149
1660,3.0583
1670,3.0867
1680,3.10034
1690,3.11738
1700,3.15632
1710,3.15941
1720,3.18099
1730,3.17531
1740,3.18781
1750,3.18099
1760,3.19235
1770,3.19008
1780,3.19235
1790,3.19576
1800,3.19803
1810,3.20144
1820,3.19917
1830,3.19576
1840,3.19122
1850,3.18894
1860,3.20144
1870,3.20144
1880,3.19917
1890,3.19917
1900,3.19349
1910,3.20712
1920,3.19349
1930,3.2003
1940,3.19122
1950,3.17986
1960,3.18781
1970,3.18781
1980,3.19803
1990,3.19349
2000,3.18894
2010,3.1844
2020,3.20371
2030,3.18894
2040,3.1969
2050,3.19235
2060,3.18894
2070,3.19349
2080,3.19122
2090,3.20712
2100,3.19576
2110,3.20485
2120,3.19917
2130,3.18213
2140,3.19576
2150,3.19576
2160,3.20371
2170,3.1844
2180,3.19917
2190,3.19917
2200,3.19462
2210,3.1969
2220,3.20258
2230,3.18894
2240,3.20144
2250,3.19349
2260,3.20712
2270,3.19349
2280,3.18781
2290,3.18781
2300,3.19462
2310,3.18894
2320,3.20598
2330,3.2003
2340,3.1969
2350,3.19008
2360,3.20258
2370,3.20371
2380,3.18213
2390,3.19576
2400,3.1844
2410,3.19235
2420,3.18894
2430,3.18781
2440,3.1969
2450,3.1844
2460,3.19917
2470,3.19462
2480,3.19122
2490,3.20485
2500,3.19803
2510,3.19917
2520,3.1969
2530,3.18894
2540,3.19803
2550,3.2003
2560,3.18667
2570,3.19122
2580,3.19349
2590,3.18781
2600,3.20598
2610,3.18781
2620,3.18894
2630,3.20371
2640,3.19803
2650,3.19008
2660,3.18894
2670,3.19917
2680,3.20826
2690,3.19462
2700,3.19917
2710,3.19917
2720,3.18781
2730,3.18667
2740,3.19462
2750,3.18781
2760,3.20144
2770,3.19008
2780,3.19122
2790,3.1969
2800,3.18894
2810,3.18667
2820,3.19462
2830,3.1844
2840,3.19576
2850,3.18554
2860,3.19803
2870,3.19008
2880,3.18781
2890,3.18326
2900,3.19122
2910,3.1969
2920,3.18781
2930,3.19349
2940,3.1844
2950,3.19349
2960,3.18099
2970,3.19462
2980,3.19917
2990,3.19803
3000,3.18894
3010,3.17758
3020,3.1844
3030,3.17986
3040,3.18326
3050,3.19576
3060,3.19235
3070,3.18213
3080,3.18781
3090,3.18099
3100,3.18326
3110,3.17872
3120,3.18326
3130,3.16282
3140,3.17304
3150,3.18213
3160,3.1719
3170,3.1685
3180,3.14805
3190,3.14464
3200,3.14464
3210,3.13555
3220,3.12874
3230,3.12874
3240,3.13328
3250,3.12533
3260,3.11965
3270,3.09238
3280,3.09011
3290,3.09693
3300,3.06398
3310,3.0833
3320,3.07762
3330,3.0708
3340,3.03786
3350,3.04354
3360,3.01059
3370,2.97651
3380,2.97765
3390,2.98219
3400,2.95834
3410,2.95606
3420,2.96402
3430,2.92312
3440,2.95834
3450,2.96856
3460,2.92539
3470,2.91971
3480,2.90494
3490,2.89472
3500,2.91858
3510,2.95834
3520,2.95834
3530,2.92653
3540,2.95947
3550,3.02763
3560,2.99582
3570,3.01854
3580,2.96515
3590,3.01968
3600,3.00491
